interface_id,firewall_id,vdom_id,interface_name,ip_address,mask,type,vlan_id,description,status,physical_interface_name,last_updated
73,1,4,mgrx-int,172.16.253.1,29,interface,2601," mgrx-int",,,2025-06-19 10:16:35.285797
74,1,4,mgrx-ext,172.16.253.9,29,interface,2602," mgrx-ext",,,2025-06-19 10:16:35.285797
75,1,6,mweb-wap-int,192.168.101.125,28,interface,3349,,,,2025-06-19 10:16:35.285797
76,1,6,mweb-bberry,172.16.253.41,29,interface,2607,,,,2025-06-19 10:16:35.285797
77,1,4,mgrx-s6a-int,172.16.253.49,29,interface,2606," mgrx-s6a-int",,,2025-06-19 10:16:35.285797
78,1,6,mweb-sigtran,172.16.253.25,29,interface,2608," mweb-sigtran",,,2025-06-19 10:16:35.285797
79,1,6,mweb-ntp-int,192.168.100.190,28,interface,3385,,,,2025-06-19 10:16:35.285797
80,1,5,mli-x-int,172.27.3.158,27,interface,3050,mli-x-int,,,2025-06-19 10:16:35.285797
81,1,5,mli-hi-int,172.27.3.225,27,interface,3038,mli-hi-int,,,2025-06-19 10:16:35.285797
82,1,5,mli-broad-soft,192.168.195.103,24,interface,3470,eco-drive-test,,,2025-06-19 10:16:35.285797
83,1,5,mli-lemf-int,192.168.225.254,24,interface,2609,ELAN 1273100053,,,2025-06-19 10:16:35.285797
84,1,5,mli-msc-int,180.143.17.254,24,interface,2610,ELAN 1273100278,,,2025-06-19 10:16:35.285797
85,1,4,mgrx-s6a-ext,172.16.253.17,29,interface,2603,s6- traffic-external-partners,,,2025-06-19 10:16:35.285797
86,1,6,mweb-alumdmt,172.27.38.1,26,interface,3093,mweb-alumdmt,,,2025-06-19 10:16:35.285797
87,1,6,mweb-alumdm,172.27.38.65,26,interface,3094,mweb-alumdm,,,2025-06-19 10:16:35.285797
88,1,6,mweb-alumdmdb,172.27.38.129,26,interface,3095,mweb-alumdmdb,,,2025-06-19 10:16:35.285797
89,1,6,mweb-dt-int,172.30.2.174,29,interface,3115,mweb-dt-int,,,2025-06-19 10:16:35.285797
90,1,6,mweb-apnwap-int,172.16.253.89,29,interface,2612,mweb-apnwap-int,,,2025-06-19 10:16:35.285797
91,1,6,mweb-apnmms-int,172.16.253.97,29,interface,2613,mweb-apnmms-int,,,2025-06-19 10:16:35.285797
92,1,5,mli-mx-int,192.168.108.1,24,interface,2615," mli-mx-int-Elan-1283104880",,,2025-06-19 10:16:35.285797
93,1,6,mweb-afginet,172.16.253.121,29,interface,2620,mweb-afginet,,,2025-06-19 10:16:35.285797
94,1,6,dns-mobilefe,172.16.253.137,29,interface,3118,dns-mobilefe,,,2025-06-19 10:16:35.285797
95,1,6,eco-drive-test,172.27.45.33,28,interface,3202,eco-drive-test,,,2025-06-19 10:16:35.285797
96,1,6,eco-drive-prod,172.27.45.1,28,interface,3203,eco-drive-prod,,,2025-06-19 10:16:35.285797
97,1,6,mweb-cmamms,172.27.52.65,27,interface,3654,ZTE_CMA_PROD_MMS_Service,,,2025-06-19 10:16:35.285797
98,1,6,mweb-cmawap,172.27.52.129,27,interface,3655,ZTE_CMA_PROD_WAP_Service,,,2025-06-19 10:16:35.285797
99,1,6,mweb-cmatwap,172.27.55.129,27,interface,3675,ZTE_CMA_TEST_WAP_Service,,,2025-06-19 10:16:35.285797
100,1,6,mweb-cmatmms,172.27.55.65,27,interface,3674,ZTE_CMA_TEST_MMS_Service,,,2025-06-19 10:16:35.285797
101,1,5,P2P_Mobile_Host,172.30.2.242,29,interface,3190,P2P_Mobile_Hosting,,,2025-06-19 10:16:35.285797
102,1,5,mli-ptech-ix,172.16.7.91,29,interface,3146,,,,2025-06-19 10:16:35.285797
103,1,7,ptech_ix_1,100.68.64.193,29,interface,641,,,,2025-06-19 10:16:35.285797
104,1,7,ptech_ix_2,100.68.64.201,29,interface,642,,,,2025-06-19 10:16:35.285797
105,1,3,t_non3gpp1,100.68.143.193,29,interface,2724,To mob_t_pcore_non3gpp DCG,,,2025-06-19 10:16:35.285797
106,1,3,t_non3gpp2,100.68.143.201,29,interface,2725,To mob_t_non3gpp DCK,,,2025-06-19 10:16:35.285797
107,1,4,p_pcore_dns_ex1,100.68.38.193,29,interface,384,,,,2025-06-19 10:16:35.285797
108,1,4,p_pcore_dns_ex2,100.68.38.201,29,interface,385,,,,2025-06-19 10:16:35.285797
109,1,6,mweb-dtag,195.46.228.17,32,loopback,,None,,,2025-06-19 10:16:35.285797
110,1,4,mgrx-lo1,195.46.227.71,32,loopback,,None,,,2025-06-19 10:16:35.285797
111,1,4,mgrx-lo2,195.46.227.109,32,loopback,,None,,,2025-06-19 10:16:35.285797
112,1,6,mweb-mypost,195.46.228.18,32,loopback,,None,,,2025-06-19 10:16:35.285797
113,1,6,mweb-rim-ebrc,213.166.61.110,32,loopback,,None,,,2025-06-19 10:16:35.285797
114,9,11,mgt-scan,172.30.2.25,29,interface,3164,,,,2025-06-19 10:16:35.285797
115,12,13,mgt-bras,172.16.255.33,28,interface,2803,,,,2025-06-19 10:16:35.285797
116,12,13,mgt-bng,192.168.107.253,24,interface,2818,Assyst Ticket: 220504,,,2025-06-19 10:16:35.285797
117,12,13,mgt-bngbkp,192.168.109.253,24,interface,2819,E-LAN 1273100294/1283104952,,,2025-06-19 10:16:35.285797
118,12,13,mgt-ciminkofe,172.27.5.1,25,interface,3311,,,,2025-06-19 10:16:35.285797
119,12,13,mgt-accs,172.27.11.253,24,interface,3061,Assyst Ticket: 220504,,,2025-06-19 10:16:35.285797
120,12,13,mgt-accsdb,172.27.20.253,24,interface,3071,Assyst Ticket: 220504,,,2025-06-19 10:16:35.285797
121,12,13,mgt-dtint,172.30.2.22,29,interface,3105,,,,2025-06-19 10:16:35.285797
122,12,13,mgt-aps-prod,172.27.23.1,26,interface,3077,,,,2025-06-19 10:16:35.285797
123,12,13,mgt-aps-test,172.27.23.65,26,interface,3078,,,,2025-06-19 10:16:35.285797
124,12,13,mgt-aps-dev,172.27.23.129,26,interface,3079,,,,2025-06-19 10:16:35.285797
125,12,13,mgt-alu-hdm-t,172.27.37.1,26,interface,3090,,,,2025-06-19 10:16:35.285797
126,12,13,mgt-alu-hdm,172.27.37.65,26,interface,3091,,,,2025-06-19 10:16:35.285797
127,12,13,mgt-alu-hdm-db,172.27.37.129,26,interface,3092,,,,2025-06-19 10:16:35.285797
128,12,13,mgt-mli-x,172.27.3.139,27,interface,3050,,,,2025-06-19 10:16:35.285797
129,12,13,mgt-dmz-data,192.168.8.1,24,interface,3325,20161124 Migration from IP380,,,2025-06-19 10:16:35.285797
130,12,13,mgt-dmz-cop-p,192.168.104.1,26,interface,3535,,,,2025-06-19 10:16:35.285797
131,12,13,mgt-dmz-cop-u,192.168.104.65,26,interface,3538,,,,2025-06-19 10:16:35.285797
132,12,13,mgt-scan1,172.30.2.30,29,interface,3164,,,,2025-06-19 10:16:35.285797
133,12,13,mgt-ptech-ix,172.16.7.83,29,interface,3145,,,,2025-06-19 10:16:35.285797
134,12,13,mgt-brasbkp,172.16.254.33,28,interface,2804,,,,2025-06-19 10:16:35.285797
135,14,16,p2p_nce-mgmt,172.16.96.170,30,interface,405,,,,2025-06-19 10:16:35.285797
136,14,16,p2p_nce-nb,172.16.96.162,30,interface,411,,,,2025-06-19 10:16:35.285797
137,14,16,p2p_nce-sb,172.16.96.166,30,interface,413,,,,2025-06-19 10:16:35.285797
138,14,15,p2p_vrf-tpfs,172.16.7.42,30,interface,3008,,,,2025-06-19 10:16:35.285797
139,14,16,p2p_nce-liv-sb,172.16.80.6,30,interface,4012,,,,2025-06-19 10:16:35.285797
140,14,16,p2p_nce-liv-mgt,172.16.80.10,30,interface,4005,,,,2025-06-19 10:16:35.285797
141,14,16,p2p_nce-liv-nb,172.16.80.2,30,interface,4011,,,,2025-06-19 10:16:35.285797
142,14,15,p2p_f_nce-nb,172.16.80.25,30,interface,421,,,,2025-06-19 10:16:35.285797
143,14,15,p2p_f_nce-mgmt,172.16.80.33,30,interface,425,,,,2025-06-19 10:16:35.285797
144,14,15,p2p_f_nce-sb,172.16.80.29,30,interface,422,,,,2025-06-19 10:16:35.285797
145,14,16,p2p_otn_nce_tra,172.16.80.26,30,interface,4081,,,,2025-06-19 10:16:35.285797
146,14,15,p2p_fnce-liv-nb,172.16.80.13,30,interface,4021,,,,2025-06-19 10:16:35.285797
147,14,15,p2p_fnce-liv-sb,172.16.80.17,30,interface,4022,,,,2025-06-19 10:16:35.285797
148,14,15,p2p_fnce-livmgt,172.16.80.21,30,interface,4025,,,,2025-06-19 10:16:35.285797
149,14,16,p2p_vrf-tpms,172.16.7.34,30,interface,3005,,,,2025-06-19 10:16:35.285797
150,14,16,p2p_otn_tpcar,172.16.81.222,30,interface,4080,,,,2025-06-19 10:16:35.285797
151,17,19,p2p_nce-mgmt,172.16.96.182,30,interface,405,,,,2025-06-19 10:16:35.285797
152,17,19,p2p_nce-nb,172.16.96.174,30,interface,411,,,,2025-06-19 10:16:35.285797
153,17,19,p2p_nce-sb,172.16.96.178,30,interface,413,,,,2025-06-19 10:16:35.285797
154,17,18,p2p_vrf-tpfs,172.16.7.46,30,interface,3009,,,,2025-06-19 10:16:35.285797
155,17,19,p2p_nce-liv-sb,172.16.80.18,30,interface,4012,,,,2025-06-19 10:16:35.285797
156,17,19,p2p_nce-liv-nb,172.16.80.14,30,interface,4011,,,,2025-06-19 10:16:35.285797
157,17,19,p2p_nce-liv-mgt,172.16.80.22,30,interface,4005,,,,2025-06-19 10:16:35.285797
158,17,18,p2p_f_nce-nb,172.16.80.41,30,interface,421,,,,2025-06-19 10:16:35.285797
159,17,18,p2p_f_nce-mgmt,172.16.80.37,30,interface,425,,,,2025-06-19 10:16:35.285797
160,17,18,p2p_f_nce-sb,172.16.80.45,30,interface,422,,,,2025-06-19 10:16:35.285797
161,17,19,p2p_otn_nce_tra,172.16.80.30,30,interface,4081,,,,2025-06-19 10:16:35.285797
162,17,18,p2p_fnce-liv-nb,172.16.80.1,30,interface,4021,,,,2025-06-19 10:16:35.285797
163,17,18,p2p_fnce-liv-sb,172.16.80.5,30,interface,4022,,,,2025-06-19 10:16:35.285797
164,17,18,p2p_fnce-livmgt,172.16.80.9,30,interface,4025,,,,2025-06-19 10:16:35.285797
165,17,19,p2p_vrf-tpms,172.16.7.38,30,interface,3006,,,,2025-06-19 10:16:35.285797
166,17,19,p2p_otn_tpcar,172.16.81.226,30,interface,4080,,,,2025-06-19 10:16:35.285797
167,20,27,evr-alpha0,78.141.187.73,29,interface,2667,,,,2025-06-19 10:16:35.285797
168,20,22,evr-alpha1,78.141.187.78,29,interface,2667,,,,2025-06-19 10:16:35.285797
169,20,27,evr-ingm0,78.141.187.33,28,interface,2664,,,,2025-06-19 10:16:35.285797
170,20,32,evr-ingm1,78.141.187.46,28,interface,2664,,,,2025-06-19 10:16:35.285797
171,20,27,evr-mail0,78.141.187.9,29,interface,2662,,,,2025-06-19 10:16:35.285797
172,20,38,evr-mail1,78.141.187.14,29,interface,2662,,,,2025-06-19 10:16:35.285797
173,20,27,evr-shd0,78.141.187.1,29,interface,2660,,,,2025-06-19 10:16:35.285797
174,20,45,evr-shd1,78.141.187.6,29,interface,2660,,,,2025-06-19 10:16:35.285797
175,20,27,evr-vew0,78.141.187.105,30,interface,2659,,,,2025-06-19 10:16:35.285797
176,20,48,evr-vew1,78.141.187.106,30,interface,2659,,,,2025-06-19 10:16:35.285797
177,20,27,evr-3play0,78.141.187.113,29,interface,2657,,,,2025-06-19 10:16:35.285797
178,20,21,evr-3play1,78.141.187.118,29,interface,2657,,,,2025-06-19 10:16:35.285797
179,20,27,evr-iptv0,78.141.187.145,28,interface,2654,,,,2025-06-19 10:16:35.285797
180,20,36,evr-iptv1,78.141.187.158,28,interface,2654,,,,2025-06-19 10:16:35.285797
181,20,27,evr-iptvpro0,37.157.154.201,30,interface,2671,,,,2025-06-19 10:16:35.285797
182,20,37,evr-iptvpro1,37.157.154.202,30,interface,2671,,,,2025-06-19 10:16:35.285797
183,20,27,evr-dis0,78.141.187.137,29,interface,2673,,,,2025-06-19 10:16:35.285797
184,20,24,evr-dis1,78.141.187.142,29,interface,2673,,,,2025-06-19 10:16:35.285797
185,20,27,evr-ketter0,78.141.187.133,30,interface,2676,,,,2025-06-19 10:16:35.285797
186,20,27,evr-mst0,37.157.154.73,29,interface,2687,,,,2025-06-19 10:16:35.285797
187,20,41,evr-mst1,37.157.154.78,29,interface,2687,,,,2025-06-19 10:16:35.285797
188,20,27,evr-faav0,78.141.187.65,29,interface,2690,,,,2025-06-19 10:16:35.285797
189,20,29,evr-faav1,78.141.187.70,29,interface,2690,,,,2025-06-19 10:16:35.285797
190,20,45,fgt-shd-int,172.16.254.1,29,interface,2703,,,,2025-06-19 10:16:35.285797
191,20,38,mail-ironport,192.168.117.1,24,interface,3351,,,,2025-06-19 10:16:35.285797
192,20,38,mail-ngm,192.168.114.241,24,interface,3341,,,,2025-06-19 10:16:35.285797
193,20,32,ingm-frontend,192.168.118.129,25,interface,3353,,,,2025-06-19 10:16:35.285797
194,20,21,3p-voipdhcp,192.168.150.254,24,interface,3474,,,,2025-06-19 10:16:35.285797
195,20,38,mail-ingm,192.168.118.126,25,interface,3354,,,,2025-06-19 10:16:35.285797
196,20,22,alpha-lo1,10.0.0.1,24,interface,2,,,,2025-06-19 10:16:35.285797
197,20,30,fil-cipt,192.168.18.251,24,interface,2784,,,,2025-06-19 10:16:35.285797
198,20,48,fgt-vew-int,172.16.254.25,29,interface,2704,,,,2025-06-19 10:16:35.285797
199,20,30,fil-vo,172.40.1.97,28,interface,2782,,,,2025-06-19 10:16:35.285797
200,20,30,fil-editus,172.40.1.113,28,interface,2783,,,,2025-06-19 10:16:35.285797
201,20,30,fil-ebrc,192.168.99.1,28,interface,2781,,,,2025-06-19 10:16:35.285797
202,20,30,fil-netcore,172.40.1.81,28,interface,2780,,,,2025-06-19 10:16:35.285797
203,20,30,fil-dt,172.30.1.94,28,interface,3051,,,,2025-06-19 10:16:35.285797
204,20,36,iptv-netgem,192.168.238.1,24,interface,3501,,,,2025-06-19 10:16:35.285797
205,20,25,dt-ext-dmz,172.20.22.101,24,interface,900,,,,2025-06-19 10:16:35.285797
206,20,21,3p-voiptmgt,192.168.191.1,24,interface,3467,,,,2025-06-19 10:16:35.285797
207,20,21,3p-voiptdmz,192.168.194.1,24,interface,3469,,,,2025-06-19 10:16:35.285797
208,20,21,3p-accesstest,192.168.148.254,24,interface,3475,,,,2025-06-19 10:16:35.285797
209,20,21,3p-waniptv,213.166.34.94,28,interface,2728,,,,2025-06-19 10:16:35.285797
210,20,35,int-iptvsondes,192.168.99.17,28,interface,3500,,,,2025-06-19 10:16:35.285797
211,20,21,3p-voipdmz,192.168.197.1,24,interface,3472,,,,2025-06-19 10:16:35.285797
212,20,21,3p-voipmgt,192.168.195.1,24,interface,3470,,,,2025-06-19 10:16:35.285797
213,20,21,3p-wanvoip,213.166.61.30,29,interface,2718,,,,2025-06-19 10:16:35.285797
214,20,37,iptvpro-wan1,172.16.254.49,29,interface,2726,,,,2025-06-19 10:16:35.285797
215,20,24,dis-zithasr,192.168.112.1,24,interface,2786,,,,2025-06-19 10:16:35.285797
216,20,35,int-dt,172.30.1.150,29,interface,3104,,,,2025-06-19 10:16:35.285797
217,20,35,int-smp,192.168.102.49,29,interface,3378,,,,2025-06-19 10:16:35.285797
218,20,30,fil-luxgsm,172.40.1.129,27,interface,2785,,,,2025-06-19 10:16:35.285797
219,20,35,int-smpold,195.46.240.254,28,interface,901,,,,2025-06-19 10:16:35.285797
220,20,41,mst-vrf,213.166.34.6,29,interface,2015,,,,2025-06-19 10:16:35.285797
