route_id,vdom_id,destination_network,mask_length,route_type,gateway,exit_interface_name,exit_interface_details,last_updated
1,1,169.254.0.64,32,FIB,n/a,havdlink,no info,2025-06-19 12:14:36.311657
2,1,169.254.0.66,32,FIB,n/a,havdlink,no info,2025-06-19 12:14:36.334098
3,1,169.254.0.127,32,FIB,n/a,havdlink,no info,2025-06-19 12:14:36.354839
4,1,192.168.10.0,32,FIB,n/a,mgmt,physical interface is up,2025-06-19 12:14:36.380434
5,1,192.168.10.172,32,FIB,n/a,mgmt,physical interface is up,2025-06-19 12:14:36.409668
6,1,192.168.10.255,32,FIB,n/a,mgmt,physical interface is up,2025-06-19 12:14:36.439458
7,1,169.254.0.64,26,FIB,n/a,havdlink,no info,2025-06-19 12:14:36.47636
8,1,192.168.10.0,24,FIB,n/a,mgmt,physical interface is up,2025-06-19 12:14:36.513854
9,3,10.117.0.0,16,static,213.166.34.211,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:36.55812
10,3,10.118.0.0,16,static,213.166.34.211,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:36.596572
11,3,10.119.0.0,16,static,213.166.34.211,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:36.628094
12,3,10.120.0.0,16,static,213.166.34.211,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:36.661736
13,3,10.205.0.0,16,static,213.166.34.211,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:36.712545
14,3,10.206.0.0,16,static,213.166.34.211,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:36.784463
15,3,10.207.0.0,16,static,213.166.34.211,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:36.889622
16,3,10.208.0.0,16,static,213.166.34.211,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:37.136945
17,3,10.209.0.0,16,static,213.166.34.211,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:37.281034
18,3,10.210.0.0,16,static,213.166.34.211,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:37.388849
19,3,10.211.0.0,16,static,213.166.34.211,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:37.505144
20,3,10.212.0.0,16,static,213.166.34.211,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:37.964806
21,3,10.213.0.0,16,static,213.166.34.211,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:38.06636
22,3,10.214.0.0,16,static,213.166.34.211,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:38.168063
23,3,10.215.0.0,16,static,213.166.34.211,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:38.276051
24,3,10.216.0.0,16,static,213.166.34.211,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:38.374342
25,3,10.217.0.0,16,static,213.166.34.211,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:38.49977
26,3,10.221.0.0,16,static,213.166.34.211,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:38.633366
27,3,10.222.0.0,16,static,213.166.34.211,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:38.775641
28,3,10.223.0.0,16,static,213.166.34.211,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:38.918678
29,3,10.231.0.0,16,static,213.166.34.211,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:39.102274
30,3,10.240.0.0,16,static,213.166.34.211,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:39.255711
31,3,10.241.0.0,16,static,213.166.34.211,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:39.431773
32,3,10.242.0.0,16,static,213.166.34.211,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:39.560874
33,3,10.243.0.0,16,static,213.166.34.211,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:39.799801
34,3,10.244.0.0,16,static,213.166.34.211,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:39.91247
35,3,10.245.0.0,16,static,213.166.34.211,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:40.059222
36,3,10.246.0.0,16,static,213.166.34.211,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:40.237227
37,3,78.141.178.56,29,static,172.16.253.110,mvowifi,vlan interface with ip 172.16.253.105/29 is up,2025-06-19 12:14:40.354928
38,3,78.141.178.64,29,connected,n/a,mvowifi,vlan interface with ip 78.141.178.70/29 is up,2025-06-19 12:14:40.447826
39,3,100.68.143.192,29,connected,n/a,t,vlan interface with ip 100.68.143.193/29 is up,2025-06-19 12:14:40.536549
40,3,100.68.143.200,29,connected,n/a,t,vlan interface with ip 100.68.143.201/29 is up,2025-06-19 12:14:40.616988
41,3,172.16.253.104,29,connected,n/a,mvowifi,vlan interface with ip 172.16.253.105/29 is up,2025-06-19 12:14:40.675806
42,3,213.166.32.184,29,static,172.16.253.110,mvowifi,vlan interface with ip 172.16.253.105/29 is up,2025-06-19 12:14:40.789281
43,3,213.166.32.186,32,BGP,100.68.143.198,t,vlan interface with ip 100.68.143.193/29 is up,2025-06-19 12:14:40.913258
44,3,213.166.34.208,29,connected,n/a,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:41.119517
45,3,78.141.178.64,32,FIB,n/a,mvowifi,vlan interface with ip 78.141.178.70/29 is up,2025-06-19 12:14:41.245188
46,3,78.141.178.70,32,FIB,n/a,mvowifi,vlan interface with ip 78.141.178.70/29 is up,2025-06-19 12:14:41.343289
47,3,78.141.178.71,32,FIB,n/a,mvowifi,vlan interface with ip 78.141.178.70/29 is up,2025-06-19 12:14:41.437124
48,3,100.68.143.192,32,FIB,n/a,t,vlan interface with ip 100.68.143.193/29 is up,2025-06-19 12:14:41.478442
49,3,100.68.143.193,32,FIB,n/a,t,vlan interface with ip 100.68.143.193/29 is up,2025-06-19 12:14:41.529442
50,3,100.68.143.199,32,FIB,n/a,t,vlan interface with ip 100.68.143.193/29 is up,2025-06-19 12:14:41.597573
51,3,100.68.143.200,32,FIB,n/a,t,vlan interface with ip 100.68.143.201/29 is up,2025-06-19 12:14:41.697351
52,3,100.68.143.201,32,FIB,n/a,t,vlan interface with ip 100.68.143.201/29 is up,2025-06-19 12:14:41.781168
53,3,100.68.143.207,32,FIB,n/a,t,vlan interface with ip 100.68.143.201/29 is up,2025-06-19 12:14:41.831177
54,3,172.16.253.104,32,FIB,n/a,mvowifi,vlan interface with ip 172.16.253.105/29 is up,2025-06-19 12:14:41.884726
55,3,172.16.253.105,32,FIB,n/a,mvowifi,vlan interface with ip 172.16.253.105/29 is up,2025-06-19 12:14:41.932757
56,3,172.16.253.111,32,FIB,n/a,mvowifi,vlan interface with ip 172.16.253.105/29 is up,2025-06-19 12:14:41.979338
57,3,213.166.34.208,32,FIB,n/a,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:42.018286
58,3,213.166.34.214,32,FIB,n/a,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:42.064906
59,3,213.166.34.215,32,FIB,n/a,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:42.141899
60,3,10.117.0.0,16,FIB,n/a,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:42.236819
61,3,10.118.0.0,16,FIB,n/a,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:42.32776
62,3,10.119.0.0,16,FIB,n/a,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:42.415615
63,3,10.120.0.0,16,FIB,n/a,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:42.527777
64,3,10.205.0.0,16,FIB,n/a,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:42.616899
65,3,10.206.0.0,16,FIB,n/a,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:42.697613
66,3,10.207.0.0,16,FIB,n/a,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:42.769891
67,3,10.208.0.0,16,FIB,n/a,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:42.829484
68,3,10.209.0.0,16,FIB,n/a,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:42.923576
69,3,10.210.0.0,16,FIB,n/a,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:43.013879
70,3,10.211.0.0,16,FIB,n/a,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:43.136281
71,3,10.212.0.0,16,FIB,n/a,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:43.218341
72,3,10.213.0.0,16,FIB,n/a,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:43.302184
73,3,10.214.0.0,16,FIB,n/a,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:43.369699
74,3,10.215.0.0,16,FIB,n/a,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:43.462402
75,3,10.216.0.0,16,FIB,n/a,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:43.601391
76,3,10.217.0.0,16,FIB,n/a,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:43.644896
77,3,10.221.0.0,16,FIB,n/a,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:43.698499
78,3,10.222.0.0,16,FIB,n/a,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:43.81224
79,3,10.223.0.0,16,FIB,n/a,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:43.875139
80,3,10.231.0.0,16,FIB,n/a,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:44.067196
81,3,10.240.0.0,16,FIB,n/a,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:44.173966
82,3,10.241.0.0,16,FIB,n/a,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:44.238838
83,3,10.242.0.0,16,FIB,n/a,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:44.315531
84,3,10.243.0.0,16,FIB,n/a,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:44.394928
85,3,10.244.0.0,16,FIB,n/a,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:44.489743
86,3,10.245.0.0,16,FIB,n/a,mvowifi,vlan interface with ip 213.166.34.214/29 is up,2025-06-19 12:14:44.547133
